date,swe_mm,tair_c,ppt_mm
2012-10-01,0,5.4,0
2012-10-02,0,10.6,0
2012-10-03,0,7.5,0
2012-10-04,0,-1.1,0
2012-10-05,0,-1.3,0
2012-10-06,0,-5.6,0
2012-10-07,0,-0.5,2.5
2012-10-08,0,5.2,0
2012-10-09,0,3.9,0
2012-10-10,0,6.8,0
2012-10-11,0,6.5,0
2012-10-12,0,6,2.5
2012-10-13,0,2.3,0
2012-10-14,0,4.4,0
2012-10-15,0,7.8,0
2012-10-16,0,5.9,2.5
2012-10-17,0,-1.4,2.5
2012-10-18,0,1.4,0
2012-10-19,0,6,0
2012-10-20,0,7.8,0
2012-10-21,0,6.1,0
2012-10-22,0,7.4,0
2012-10-23,0,6.5,0
2012-10-24,0,-1.2,12.7
2012-10-25,10.2,-6.5,12.7
2012-10-26,22.9,-7.2,2.5
2012-10-27,25.4,-3.7,2.5
2012-10-28,30.5,1.6,2.5
2012-10-29,30.5,4.5,0
2012-10-30,30.5,5,0
2012-10-31,30.5,4.9,0
2012-11-01,30.5,4.6,0
2012-11-02,30.5,2.3,0
2012-11-03,25.4,2.2,0
2012-11-04,25.4,3.1,0
2012-11-05,25.4,4.3,0
2012-11-06,25.4,5.6,0
2012-11-07,25.4,6.2,0
2012-11-08,25.4,3.3,0
2012-11-09,22.9,4.6,0
2012-11-10,22.9,-4.3,0
2012-11-11,22.9,-12.3,0
2012-11-12,22.9,-5,5.1
2012-11-13,25.4,-3.3,0
2012-11-14,25.4,0.2,0
2012-11-15,25.4,-1,0
2012-11-16,27.9,1.5,2.5
2012-11-17,27.9,1.4,0
2012-11-18,27.9,1.1,0
2012-11-19,27.9,0.7,0
2012-11-20,27.9,4,0
2012-11-21,27.9,4.9,0
2012-11-22,27.9,1,0
2012-11-23,25.4,2.4,0
2012-11-24,25.4,3.4,0
2012-11-25,25.4,1.8,0
2012-11-26,25.4,-1.3,0
2012-11-27,22.9,0.9,0
2012-11-28,22.9,2.2,0
2012-11-29,22.9,2.3,0
2012-11-30,22.9,3.3,0
2012-12-01,22.9,2,0
2012-12-02,22.9,3.4,0
2012-12-03,22.9,-0.4,0
2012-12-04,22.9,0,0
2012-12-05,22.9,3.3,0
2012-12-06,22.9,-0.6,2.5
2012-12-07,22.9,-3.4,7.6
2012-12-08,27.9,-7.5,10.2
2012-12-09,38.1,-16.1,7.6
2012-12-10,45.7,-12.3,2.5
2012-12-11,50.8,-9,2.5
2012-12-12,53.3,-2.2,0
2012-12-13,53.3,-1.8,0
2012-12-14,53.3,-3.3,0
2012-12-15,53.3,-4.5,0
2012-12-16,53.3,-7.9,0
2012-12-17,53.3,-6.6,15.2
2012-12-18,66,-7.2,7.6
2012-12-19,73.7,-14.2,5.1
2012-12-20,86.4,-7.7,7.6
2012-12-21,88.9,-2.2,0
2012-12-22,88.9,0.4,2.5
2012-12-23,91.4,-3.2,0
2012-12-24,91.4,-5.8,2.5
2012-12-25,94,-12.1,0
2012-12-26,94,-6.7,0
2012-12-27,96.5,-10.9,2.5
2012-12-28,96.5,-12.9,0
2012-12-29,99.1,-4.7,0
2012-12-30,99.1,-6.1,0
2012-12-31,99.1,-13.4,0
2013-01-01,99.1,-12.8,0
2013-01-02,99.1,-13.2,0
2013-01-03,99.1,-12,0
2013-01-04,99.1,-7,2.5
2013-01-05,99.1,-4.6,0
2013-01-06,101.6,-2.7,2.5
2013-01-07,101.6,-0.2,0
2013-01-08,101.6,-3.5,0
2013-01-09,101.6,0.9,0
2013-01-10,101.6,-2.1,0
2013-01-11,101.6,-11.4,0
2013-01-12,99.1,-18.4,0
2013-01-13,99.1,-20.6,2.5
2013-01-14,99.1,-20.6,0
2013-01-15,99.1,-9.2,0
2013-01-16,101.6,-3.1,0
2013-01-17,101.6,-4,0
2013-01-18,101.6,-0.6,0
2013-01-19,101.6,-0.8,0
2013-01-20,101.6,-2.3,0
2013-01-21,101.6,-2,0
2013-01-22,101.6,1.6,0
2013-01-23,101.6,2.4,0
2013-01-24,101.6,1.5,0
2013-01-25,104.1,0.9,0
2013-01-26,104.1,0.9,2.5
2013-01-27,104.1,-0.3,0
2013-01-28,104.1,-3.2,2.5
2013-01-29,106.7,-13.9,0
